Tarih;Şimdi;Acilis;Yüksek;Düşük;Fark %
261;3,5277;3,5224;3,5325;3,5095;0,13%
260;3,523;3,5395;3,5441;3,5145;-0,48%
259;3,54;3,522;3,5505;3,517;0,53%
258;3,5214;3,5123;3,5273;3,501;0,27%
257;3,5118;3,518;3,5209;3,5046;-0,15%
256;3,5169;3,5121;3,5189;3,4975;0,16%
255;3,5114;3,5091;3,5191;3,4981;0,07%
254;3,5089;3,527;3,5341;3,504;-0,53%
253;3,5275;3,5338;3,5425;3,5005;-0,16%
252;3,5331;3,5067;3,537;3,487;0,75%
251;3,5068;3,5114;3,5207;3,482;-0,15%
250;3,5119;3,5323;3,5438;3,499;-0,58%
249;3,5323;3,4906;3,5402;3,4545;1,21%
248;3,4899;3,4688;3,5055;3,4514;0,61%
247;3,4688;3,4816;3,5495;3,4654;-0,52%
246;3,4869;3,4422;3,5058;3,4185;1,26%
245;3,4434;3,3893;3,4971;3,3384;1,57%
244;3,3902;3,447;3,46;3,3803;-1,61%
243;3,4456;3,5226;3,5415;3,4312;-2,20%
242;3,5231;3,52;3,5626;3,5149;0,12%
241;3,519;3,5042;3,586;3,4822;0,44%
240;3,5037;3,4365;3,5064;3,4255;1,94%
239;3,437;3,4083;3,4421;3,4045;0,83%
238;3,4088;3,4143;3,435;3,4045;-0,18%
237;3,4148;3,4515;3,4579;3,4071;-0,93%
236;3,4468;3,4457;3,4764;3,4341;0,04%
235;3,4455;3,3967;3,4546;3,3697;1,51%
234;3,3941;3,3854;3,4181;3,3681;0,29%
233;3,3844;3,3616;3,3943;3,35;0,68%
232;3,3616;3,3735;3,396;3,35;-0,41%
231;3,3753;3,3701;3,4088;3,354;0,14%
230;3,3706;3,3238;3,3782;3,308;1,42%
229;3,3234;3,2916;3,3298;3,2835;1,00%
228;3,2906;3,29;3,2985;3,263;0,02%
227;3,29;3,251;3,2995;3,244;1,16%
226;3,2522;3,251;3,2795;3,234;0,04%
225;3,2509;3,2094;3,2635;3,1928;1,28%
224;3,2099;3,155;3,2905;3,154;1,74%
223;3,155;3,168;3,1859;3,1515;-0,41%
222;3,1681;3,1568;3,1806;3,142;0,35%
221;3,1569;3,1101;3,1755;3,1091;1,50%
220;3,1101;3,115;3,1242;3,1038;-0,12%
219;3,1138;3,1123;3,1265;3,108;0,07%
218;3,1116;3,0938;3,1229;3,0909;0,57%
217;3,0939;3,1033;3,1172;3,0913;-0,42%
216;3,1069;3,1138;3,1283;3,103;-0,22%
215;3,1138;3,0808;3,1152;3,0796;1,05%
214;3,0813;3,0711;3,091;3,068;0,33%
213;3,0711;3,0745;3,0913;3,0685;-0,16%
212;3,076;3,0839;3,0895;3,0685;-0,18%
211;3,0814;3,0602;3,0905;3,0537;0,70%
210;3,0601;3,0605;3,0767;3,051;-0,05%
209;3,0616;3,0941;3,0981;3,0535;-1,09%
208;3,0953;3,0963;3,1145;3,087;-0,02%
207;3,096;3,0855;3,113;3,0855;0,18%
206;3,0905;3,0873;3,0997;3,0699;0,15%
205;3,0858;3,0848;3,114;3,0785;0,02%
204;3,0853;3,0835;3,0981;3,0704;0,04%
203;3,084;3,0713;3,0896;3,0665;0,40%
202;3,0718;3,0498;3,0786;3,0415;0,68%
201;3,051;3,0398;3,0644;3,033;0,37%
200;3,0397;3,0516;3,061;3,038;-0,39%
199;3,0516;3,0598;3,0664;3,0479;-0,20%
198;3,0578;3,0193;3,0663;3,0173;1,29%
197;3,0188;3,002;3,028;2,9979;0,65%
196;2,9992;2,9998;3,0128;2,9945;-0,02%
195;2,9997;2,9799;3,0106;2,9766;0,67%
194;2,9798;2,9741;2,9898;2,9705;0,17%
193;2,9746;2,9805;2,986;2,9638;-0,21%
192;2,981;2,9917;2,9991;2,972;0,47%
191;2,9672;2,9425;2,9683;2,9406;0,79%
190;2,944;2,9556;2,9585;2,9378;-0,38%
189;2,9551;2,9779;2,9886;2,9493;-0,77%
188;2,9781;2,9762;2,9823;2,9703;0,03%
187;2,9771;2,9836;2,9851;2,9701;-0,13%
186;2,9809;2,9682;2,986;2,961;0,41%
185;2,9687;2,9798;2,989;2,9625;-0,36%
184;2,9794;2,9841;2,9882;2,9725;-0,17%
183;2,9846;2,9677;2,9897;2,9615;0,58%
182;2,9675;2,9693;2,9939;2,9615;0,15%
181;2,963;2,9528;2,9797;2,947;0,40%
180;2,9512;2,9363;2,957;2,9289;0,50%
179;2,9364;2,9225;2,944;2,9185;0,48%
178;2,9224;2,9457;2,9485;2,9196;-0,79%
177;2,9457;2,9491;2,9521;2,9401;-0,18%
176;2,9509;2,9611;2,9669;2,9411;-0,35%
175;2,9612;2,958;2,973;2,9536;0,11%
174;2,958;2,963;2,9669;2,952;-0,17%
