tarih;dolar;euro
261;3,5224;3,6963
260;3,5395;3,6864
259;3,522;3,6824
258;3,5123;3,6709
257;3,518;3,6787
256;3,5121;3,6652
255;3,5091;3,657
254;3,527;3,6641
253;3,5338;3,6768
252;3,5067;3,662
251;3,5114;3,6591
250;3,5323;3,7216
249;3,4906;3,708
248;3,4688;3,6896
247;3,4816;3,6788
246;3,4422;3,6557
245;3,3893;3,6444
244;3,447;3,6942
243;3,5226;3,7923
242;3,52;3,7584
241;3,5042;3,7367
240;3,4365;3,6385
239;3,4083;3,6301
238;3,4143;3,6241
237;3,4515;3,6519
236;3,4457;3,6355
235;3,3967;3,5821
234;3,3854;3,5979
233;3,3616;3,572
232;3,3735;3,5722
231;3,3701;3,5812
230;3,3238;3,5514
229;3,2916;3,5295
228;3,29;3,5314
227;3,251;3,5231
226;3,251;3,5425
225;3,2094;3,5018
224;3,155;3,4785
223;3,168;3,4979
222;3,1568;3,5151
221;3,1101;3,4538
220;3,115;3,4553
219;3,1123;3,4405
218;3,0938;3,3976
217;3,1033;3,4096
216;3,1138;3,3933
215;3,0808;3,3608
214;3,0711;3,3443
213;3,0745;3,3453
212;3,0839;3,3546
211;3,0602;3,3439
210;3,0605;3,3603
209;3,0941;3,3981
208;3,0963;3,4063
207;3,0855;3,3901
206;3,0873;3,4123
205;3,0848;3,3962
204;3,0835;3,4091
203;3,0713;3,4207
202;3,0498;3,415
201;3,0398;3,3893
200;3,0516;3,4188
199;3,0598;3,4259
198;3,0193;3,385
197;3,002;3,3697
196;2,9998;3,3679
195;2,9799;3,3424
194;2,9741;3,3357
193;2,9805;3,3551
192;2,9917;3,3304
191;2,9425;3,2991
190;2,9556;3,3086
189;2,9779;3,3226
188;2,9762;3,3262
187;2,9836;3,3234
186;2,9682;3,3378
185;2,9798;3,3508
184;2,9841;3,3475
183;2,9677;3,3343
182;2,9693;3,3352
181;2,9528;3,3251
180;2,9363;3,3003
179;2,9225;3,289
178;2,9457;3,2837
177;2,9491;3,2899
176;2,9611;3,3162
175;2,958;3,3009
174;2,963;3,3024
173;2,9502;3,3016
172;2,9569;3,3051
171;2,9339;3,31
170;2,9518;3,3252
169;2,952;3,3388
168;2,9429;3,3285
167;2,9301;3,3118
166;2,9267;3,3228
165;2,9217;3,298
164;2,929;3,3041
163;2,9402;3,2889
162;2,9572;3,3027
161;2,9573;3,2946
160;2,9571;3,3051
159;2,9679;3,2986
158;2,9823;3,3093
157;3,0018;3,3272
156;3,0106;3,3508
155;3,0133;3,359
154;2,9926;3,3589
153;2,9911;3,3381
152;2,9936;3,3445
151;3,0124;3,3367
150;3,0182;3,338
149;3,0453;3,3455
148;3,038;3,3396
147;3,0655;3,3613
146;3,0716;3,3883
145;3,0894;3,403
144;3,0435;3,3548
143;2,98;3,2994
142;3,0199;3,3348
141;2,8774;3,1989
140;2,899;3,2161
139;2,8855;3,1938
138;2,9045;3,2119
137;2,8914;3,1966
136;2,9378;3,2506
135;2,9371;3,2605
134;2,9297;3,2441
133;2,9068;3,2411
132;2,9029;3,2338
131;2,8766;3,195
130;2,8918;3,217
129;2,9038;3,2136
128;2,939;3,2407
127;2,9285;3,242
126;2,8523;3,2511
125;2,8956;3,2698
124;2,9106;3,2741
123;2,9061;3,2856
122;2,9316;3,3082
121;2,9324;3,29
120;2,925;3,2933
119;2,937;3,2919
118;2,9198;3,2957
117;2,9293;3,2929
116;2,8922;3,2738
115;2,8914;3,2983
114;2,8966;3,2894
113;2,9044;3,2971
112;2,9112;3,2973
111;2,9488;3,2873
110;2,9421;3,2915
109;2,9499;3,2845
108;2,955;3,2939
107;2,9575;3,2874
106;2,9341;3,2839
105;2,9373;3,2784
104;2,9435;3,2785
103;2,9962;3,3613
102;2,977;3,3393
101;2,985;3,3444
100;2,9905;3,3561
99;2,9631;3,3528
98;2,9762;3,3699
97;2,967;3,3588
96;2,9605;3,3681
95;2,9545;3,3784
94;2,9502;3,3584
93;2,944;3,3505
92;2,9276;3,3386
91;2,9226;3,3351
90;2,9623;3,4015
89;2,8508;3,2771
88;2,8047;3,2355
87;2,7954;3,2002
86;2,8125;3,1938
85;2,8174;3,191
84;2,8193;3,1871
83;2,843;3,2021
82;2,8434;3,1977
81;2,8307;3,1961
80;2,8135;3,175
79;2,8297;3,2134
78;2,8383;3,2113
77;2,8515;3,2196
76;2,8489;3,2101
75;2,8452;3,2071
74;2,8339;3,2264
73;2,8316;3,2297
72;2,8471;3,2492
71;2,8603;3,2544
70;2,8397;3,2364
69;2,8309;3,2227
68;2,811;3,2007
67;2,822;3,2137
66;2,8155;3,204
65;2,8344;3,2136
64;2,8363;3,2021
63;2,8673;3,2099
62;2,8709;3,2033
61;2,8713;3,2082
60;2,8749;3,2137
59;2,8647;3,2125
58;2,8607;3,2151
57;2,8611;3,2301
56;2,8388;3,2145
55;2,8669;3,2178
54;2,8971;3,2184
53;2,8696;3,1864
52;2,8675;3,1947
51;2,89;3,2302
50;2,8913;3,1814
49;2,9135;3,2048
48;2,9136;3,2093
47;2,9073;3,1978
46;2,907;3,1855
45;2,9239;3,179
44;2,9354;3,1874
43;2,963;3,2223
42;2,9953;3,2681
41;2,927;3,2258
40;2,9348;3,2315
39;2,9427;3,242
38;2,9358;3,2369
37;2,9522;3,2825
36;2,9676;3,2957
35;2,9553;3,2878
34;2,9744;3,3149
33;2,9446;3,2841
32;2,9293;3,2963
31;2,928;3,3171
30;2,9203;3,2973
29;2,9395;3,3192
28;2,9466;3,2984
27;2,9175;3,2581
26;2,9108;3,2618
25;2,9149;3,2367
24;2,9511;3,2212
23;2,9449;3,2061
22;2,9551;3,1998
21;2,9684;3,2461
20;3,0004;3,2677
19;3,0073;3,2692
18;3,0199;3,2757
17;2,9995;3,2367
16;3,0111;3,2734
15;3,0413;3,311
14;3,039;3,314
13;3,0335;3,3043
12;3,0469;3,3245
11;3,021;3,282
10;3,024;3,288
9;3,0315;3,2911
8;3,0362;3,2966
7;3,0197;3,2989
6;2,9981;3,2774
5;2,9997;3,2349
4;2,9839;3,207
3;2,9634;3,2088
2;2,9175;3,1622
1;2,9167;3,1675
